종목코드,종목명,시장,class,score,현재가,today_return,mode,이유
138930,BNK금융지주,KOSPI,C,3,15140,-2.13,initial,거래량 증가
005385,현대차우,KOSPI,C,2,202500,-1.94,initial,20일선 위; 거래량 증가
175330,JB금융지주,KOSPI,C,3,24350,-1.81,initial,20일선 위; 거래량 증가
450080,에코프로머티,KOSPI,C,2,61800,-4.63,initial,20일선 위
022100,포스코DX,KOSPI,C,2,27250,-2.15,initial,20일선 위
011790,SKC,KOSPI,C,2,113400,-2.07,initial,20일선 위; 거래량 증가
302440,SK바이오사이언스,KOSPI,C,2,52600,-1.13,initial,거래량 증가
001440,대한전선,KOSPI,C,2,22300,-1.11,initial,거래량 증가
004020,현대제철,KOSPI,C,2,30550,-2.24,initial,거래량 증가
111770,영원무역,KOSPI,C,3,89100,-0.34,initial,20일선 위; 거래량 증가
035250,강원랜드,KOSPI,C,2,17750,-0.56,initial,거래량 증가
347850,디앤디파마텍,KOSDAQ,C,2,88300,0.11,initial,거래량 증가
071970,HD현대마린엔진,KOSPI,C,3,86400,-1.37,initial,20일선 위
004990,롯데지주,KOSPI,C,2,27650,-0.9,initial,거래량 증가
000990,DB하이텍,KOSPI,C,2,66500,-0.45,initial,20일선 위
383220,F&F,KOSPI,C,2,72500,-0.28,initial,거래량 증가
009420,한올바이오파마,KOSPI,C,3,51500,1.78,initial,20일선 위; 거래량 증가
000240,한국앤컴퍼니,KOSPI,C,3,27450,-1.08,initial,거래량 증가
081660,미스토홀딩스,KOSPI,C,3,42950,-2.39,initial,20일선 위; 거래량 증가
