종목코드,종목명,시장,현재가,20일평균,상승률,거래량
178320,서진시스템,KOSDAQ,26800,24482,9.47,703777
077970,STX엔진,KOSPI,37300,32860,13.51,341644
323280,태성,KOSDAQ,49800,41742,19.3,651865
058610,에스피지,KOSDAQ,72900,52235,39.56,992841
060370,LS마린솔루션,KOSDAQ,30000,27340,9.73,488082
466100,클로봇,KOSDAQ,51900,40547,28.0,11446730
358570,지아이이노베이션,KOSDAQ,20100,18430,9.06,1084803
000670,영풍,KOSPI,68200,62975,8.3,27727
120110,코오롱인더,KOSPI,46750,42835,9.14,405608
001430,세아베스틸지주,KOSPI,34950,28225,23.83,588526
319400,현대무벡스,KOSDAQ,10610,9329,13.73,6211995
232140,와이씨,KOSDAQ,14510,13517,7.34,493683
376900,로킷헬스케어,KOSDAQ,72600,66610,8.99,696444
389470,인벤티지랩,KOSDAQ,91000,72200,26.04,378166
388720,유일로보틱스,KOSDAQ,92600,81170,14.08,471524
085660,차바이오텍,KOSDAQ,15650,13709,14.16,440689
115180,큐리언트,KOSDAQ,29700,28272,5.05,190716
281740,레이크머티리얼즈,KOSDAQ,16130,13683,17.88,3286400
161580,필옵틱스,KOSDAQ,45150,41597,8.54,791281
468530,프로티나,KOSDAQ,91300,78930,15.67,442740
486990,노타,KOSDAQ,45200,40287,12.19,3318004
249420,일동제약,KOSPI,32500,29370,10.66,13406011
007810,코리아써키트,KOSPI,39900,33067,20.66,495861
424870,이뮨온시아,KOSDAQ,11580,9023,28.33,4645219
036830,솔브레인홀딩스,KOSDAQ GLOBAL,42750,40600,5.3,39937
218410,RFHIC,KOSDAQ,31800,28857,10.2,600186
064960,SNT모티브,KOSPI,35000,32285,8.41,69186
056190,에스에프에이,KOSDAQ GLOBAL,23900,22632,5.6,37886
069260,TKG휴켐스,KOSPI,19450,18457,5.38,133585
475960,토모큐브,KOSDAQ,57900,47675,21.45,372150
211050,인카금융서비스,KOSDAQ,15550,14390,8.06,99040
174900,앱클론,KOSDAQ,39650,35747,10.92,387079
032190,다우데이타,KOSDAQ,19950,17777,12.22,112323
000640,동아쏘시오홀딩스,KOSPI,122600,113845,7.69,12944
389650,넥스트바이오메디컬,KOSDAQ,89500,78815,13.56,116373
090360,로보스타,KOSDAQ,76700,71395,7.43,263009
002840,미원상사,KOSPI,156900,148555,5.62,3098
121600,나노신소재,KOSDAQ,60300,57142,5.53,66549
220100,퓨쳐켐,KOSDAQ,32700,31062,5.27,1200973
348210,넥스틴,KOSDAQ GLOBAL,69500,65970,5.35,172075
089970,브이엠,KOSDAQ,29550,25547,15.67,1039220
084110,휴온스글로벌,KOSDAQ,57500,53902,6.67,43954
475150,SK이터닉스,KOSPI,20300,19244,5.49,415482
102940,코오롱생명과학,KOSDAQ,56500,48870,15.61,108042
228760,지노믹트리,KOSDAQ,28100,25802,8.9,182189
025540,한국단자,KOSPI,67600,62675,7.86,54991
090710,휴림로봇,KOSDAQ,5690,5352,6.31,9865085
125490,한라캐스트,KOSDAQ,17930,13272,35.1,4004694
372320,큐로셀,KOSDAQ,45000,41770,7.73,183048
278280,천보,KOSDAQ,65200,58820,10.85,94226
090460,비에이치,KOSPI,18720,17223,8.69,374217
010780,아이에스동서,KOSPI,20900,18229,14.65,243426
131290,티에스이,KOSDAQ,58500,55357,5.68,39030
094170,동운아나텍,KOSDAQ,29150,25889,12.59,420456
222080,씨아이에스,KOSDAQ GLOBAL,7870,7176,9.67,363815
036620,감성코퍼레이션,KOSDAQ,6700,6046,10.81,378580
394800,쓰리빌리언,KOSDAQ,18730,12904,45.15,2244635
001060,JW중외제약,KOSPI,27100,25755,5.22,94836
383310,에코프로에이치엔,KOSDAQ,28300,26060,8.6,79736
025320,시노펙스,KOSDAQ,6820,6322,7.87,441157
124500,아이티센글로벌,KOSDAQ,25750,21037,22.4,5405239
484590,삼양컴텍,KOSDAQ,13560,12120,11.88,5709855
060280,큐렉소,KOSDAQ,14270,11637,22.62,1554762
494120,큐리오시스,KOSDAQ,72600,66215,9.64,471198
093320,케이아이엔엑스,KOSDAQ,121500,99335,22.31,25472
119850,지엔씨에너지,KOSDAQ,33450,31597,5.86,288219
365340,성일하이텍,KOSDAQ,44400,41425,7.18,49580
138610,나이벡,KOSDAQ,48350,39605,22.08,1223300
161000,애경케미칼,KOSPI,11230,10534,6.6,296026
309710,아이티켐,KOSDAQ,42350,36402,16.34,219855
064260,다날,KOSDAQ,7160,6755,6.0,16592003
100790,미래에셋벤처투자,KOSDAQ,9950,8797,13.11,361697
002240,고려제강,KOSPI,19700,18533,6.3,49969
041960,코미팜,KOSDAQ,7070,6359,11.18,280644
171090,선익시스템,KOSDAQ,54100,49390,9.54,52662
056080,유진로봇,KOSDAQ,13660,12083,13.05,10455242
029530,신도리코,KOSPI,50500,47077,7.27,14314
