종목코드,종목명,시장,현재가,20일평균,상승률,거래량
007815,코리아써우,KOSPI,12290,10653,15.37,38675
048770,TPC,KOSDAQ,2280,2170,5.05,43742
214610,롤링스톤,KOSDAQ,4220,3829,10.21,11041
145210,다이나믹디자인,KOSPI,918,832,10.22,65952
017000,신원종합개발,KOSDAQ,2950,2765,6.68,549041
377330,이지트로닉스,KOSDAQ,4025,3764,6.93,21025
002820,SUN&L,KOSPI,2550,2415,5.59,841374
012340,뉴인텍,KOSDAQ,592,446,32.68,15709231
233990,질경이,KONEX,2090,1946,7.38,3401
032680,소프트센,KOSDAQ,293,274,6.66,599883
310870,디와이씨,KOSDAQ,1427,1330,7.22,174834
290560,신시웨이,KOSDAQ,7810,7199,8.48,26888
496320,본시스템즈,KONEX,28750,24945,15.25,0
317240,TS트릴리온,KOSDAQ,248,226,9.28,8258553
197140,디지캡,KOSDAQ,2145,2017,6.3,9214
478780,대신밸런스제18호스팩,KOSDAQ,3450,2998,15.08,124497
014910,성문전자,KOSPI,1152,1082,6.43,21232
076610,해성옵틱스,KOSDAQ,573,527,8.7,568557
327610,펨토바이오메드,KONEX,2990,1919,55.79,479
192390,윈하이텍,KOSDAQ,2270,2161,5.02,18873
341170,퓨쳐메디신,KONEX,2310,1140,102.5,1932
448760,IBKS제22호스팩,KOSDAQ,5480,4772,14.83,411283
121890,에스디시스템,KOSDAQ,1783,1655,7.71,232873
060230,제이케이시냅스,KOSDAQ,3060,2773,10.35,18860
196700,웹스,KOSDAQ,1626,1522,6.77,121234
086220,광동헬스바이오,KONEX,1657,1348,22.9,2322
154040,다산솔루에타,KOSDAQ,1169,1103,5.96,62146
101400,엔시트론,KOSDAQ,310,294,5.23,125583
351020,미쥬,KONEX,9360,7860,19.08,201
043360,디지아이,KOSDAQ,2230,2074,7.52,35161
448830,미래에셋비전스팩3호,KOSDAQ,3745,2480,50.99,508693
052960,태양3C,KONEX,3700,3436,7.68,106
169670,코스텍시스템,KONEX,6190,5667,9.22,18
121850,코이즈,KOSDAQ,5770,827,597.7,357840
065690,파커스,KOSDAQ,1230,1019,20.68,402808
026910,광진실업,KOSDAQ,2675,2498,7.07,16557
112190,KC산업,KONEX,1589,1451,9.5,884
331660,한국미라클피플사,KONEX,13150,11124,18.21,10
289170,바이오텐,KONEX,3695,3346,10.42,1
004105,태양금속우,KOSPI,3680,3396,8.34,34812
199290,바이오프로테크,KONEX,650,513,26.51,1
189350,코셋,KONEX,1702,1579,7.75,1
00781K,코리아써키트2우B,KOSPI,9760,8952,9.02,5673
318660,타임기술,KONEX,3310,2338,41.57,7300
014285,금강공업우,KOSPI,11720,9808,19.49,29825
236340,메디젠휴먼케어,KONEX,2100,1653,26.98,1
36328K,티와이홀딩스우,KOSPI,4760,4527,5.14,23614
009415,태영건설우,KOSPI,8510,5361,58.72,169034
223220,로지스몬,KONEX,6010,802,648.54,5
002995,금호건설우,KOSPI,15350,11667,31.57,50439
140660,위월드,KONEX,1499,1347,11.21,1
012205,계양전기우,KOSPI,3230,2955,9.31,459
005965,동부건설우,KOSPI,19600,16204,20.96,47196
011155,CJ씨푸드1우,KOSPI,16370,15047,8.79,1368
