테마번호,테마명,전일대비,최근3일등락률,상승,보합,하락,주도주1,주도주1코드,주도주2,주도주2코드,페이지
452,코로나19(음압병실/음압구급차),-1.13%,-0.16%,0,0,7,에스와이,109610,케이엔솔,053080,7
489,카카오뱅크(kakao BANK),-1.17%,-0.21%,2,0,9,한세예스2..,016450,알서포트,131370,7
468,화이자(PFIZER),-1.18%,-0.29%,0,0,5,대한약품,023910,유한양행,000100,7
397,보톡스(보툴리눔톡신),-1.19%,-0.05%,2,1,10,대웅제약,069620,휴온스글로..,084110,7
408,마리화나(대마),-1.28%,-0.23%,0,1,9,엔에프씨,265740,화일약품,061250,7
556,뉴로모픽 반도체,-1.30%,+1.83%,0,0,7,삼성전자,005930,앤씨앤,092600,7
581,탈 플라스틱(친환경/생분해성 등),-1.34%,+1.13%,1,0,7,코오롱EN..,138490,한국팩키지,037230,7
209,터치패널(스마트폰/태블릿PC 등),-1.36%,+0.03%,2,0,6,유아이디,069330,파인텍,131760,7
165,은행,-1.37%,-0.14%,0,0,10,제주은행,006220,카카오뱅크,323410,7
559,고체산화물 연료전지(SOFC),-1.42%,+0.95%,2,0,9,비에이치아..,083650,미코,059090,7
381,LNG(액화천연가스),-1.43%,+0.70%,3,3,21,HD현대인..,042670,비에이치아..,083650,7
36,해운,-1.45%,-0.76%,1,0,5,KSS해운,044450,흥아해운,003280,7
213,해저터널(지하화/지하도로 등),-1.56%,+1.28%,0,2,7,한국선재,025550,우원개발,046940,7
520,피팅(관이음쇠)/밸브,-1.56%,+0.55%,0,1,8,한국선재,025550,화성밸브,039610,7
47,카지노,-1.69%,+0.89%,0,0,6,토비스,051360,코텍,052330,7
94,조선기자재,-1.96%,+1.35%,1,3,29,KS인더스..,101000,대창솔루션,096350,7
49,인터넷 대표주,-2.02%,+0.24%,0,0,2,NAVER,035420,카카오,035720,7
323,셰일가스(Shale Gas),-2.32%,+0.88%,2,0,9,비에이치아..,083650,두산에너빌..,034020,7
563,낙태/피임,-3.98%,+6.79%,0,0,4,지엘팜텍,204840,알리코제약,260660,7
