code,name,market,first_detected,last_detected
011320,유니크,KOSDAQ,2025-12-12,2025-12-12
003780,진양산업,KOSPI,2025-12-12,2025-12-12
004100,태양금속,KOSPI,2025-12-12,2025-12-12
173130,오파스넷,KOSDAQ,2025-12-12,2025-12-12
053700,삼보모터스,KOSDAQ,2025-12-12,2025-12-12
453860,에이에스텍,KOSDAQ,2025-12-12,2025-12-12
289080,SV인베스트먼트,KOSDAQ,2025-12-12,2025-12-12
111710,남화산업,KOSDAQ,2025-12-12,2025-12-12
025550,한국선재,KOSDAQ,2025-12-12,2025-12-12
339950,아이비김영,KOSDAQ,2025-12-12,2025-12-12
084730,팅크웨어,KOSDAQ,2025-12-12,2025-12-12
225190,LK삼양,KOSDAQ,2025-12-12,2025-12-12
001380,SG글로벌,KOSPI,2025-12-12,2025-12-12
396270,넥스트칩,KOSDAQ,2025-12-12,2025-12-12
307180,아이엘,KOSDAQ,2025-12-12,2025-12-12
007820,에스엠코어,KOSDAQ,2025-12-12,2025-12-12
010040,한국내화,KOSPI,2025-12-12,2025-12-12
009200,무림페이퍼,KOSPI,2025-12-12,2025-12-12
027830,대성창투,KOSDAQ,2025-12-12,2025-12-12
290740,액트로,KOSDAQ,2025-12-12,2025-12-12
011390,부산산업,KOSPI,2025-12-12,2025-12-12
382480,지아이텍,KOSDAQ,2025-12-12,2025-12-12
412540,제일엠앤에스,KOSDAQ,2025-12-12,2025-12-12
111110,호전실업,KOSPI,2025-12-12,2025-12-12
222110,팬젠,KOSDAQ,2025-12-12,2025-12-12
001470,삼부토건,KOSPI,2025-12-12,2025-12-12
222160,NPX,KOSDAQ,2025-12-12,2025-12-12
038460,바이오스마트,KOSDAQ,2025-12-12,2025-12-12
053260,금강철강,KOSDAQ,2025-12-12,2025-12-12
032540,TJ미디어,KOSDAQ,2025-12-12,2025-12-12
003560,IHQ,KOSPI,2025-12-12,2025-12-12
203690,아크솔루션스,KOSDAQ,2025-12-12,2025-12-12
039010,현대에이치티,KOSDAQ,2025-12-12,2025-12-12
351330,이삭엔지니어링,KOSDAQ,2025-12-12,2025-12-12
004590,한국가구,KOSDAQ,2025-12-12,2025-12-12
137950,제이씨케미칼,KOSDAQ,2025-12-12,2025-12-12
043650,국순당,KOSDAQ,2025-12-12,2025-12-12
263600,덕우전자,KOSDAQ,2025-12-12,2025-12-12
000220,유유제약,KOSPI,2025-12-12,2025-12-12
435570,에르코스,KOSDAQ,2025-12-12,2025-12-12
364950,에이아이코리아,KOSDAQ,2025-12-12,2025-12-12
101330,모베이스,KOSDAQ,2025-12-12,2025-12-12
451220,아이엠티,KOSDAQ,2025-12-12,2025-12-12
234920,자이글,KOSDAQ,2025-12-12,2025-12-12
355390,크라우드웍스,KOSDAQ,2025-12-12,2025-12-12
052790,액토즈소프트,KOSDAQ,2025-12-12,2025-12-12
128660,피제이메탈,KOSDAQ,2025-12-12,2025-12-12
471820,셀로맥스사이언스,KOSDAQ,2025-12-12,2025-12-12
073640,테라사이언스,KOSDAQ,2025-12-12,2025-12-12
094840,슈프리마에이치큐,KOSDAQ,2025-12-12,2025-12-12
226360,KH 건설,KOSDAQ,2025-12-12,2025-12-12
352700,씨앤투스,KOSDAQ,2025-12-12,2025-12-12
006370,대구백화점,KOSPI,2025-12-12,2025-12-12
332370,아이디피,KOSDAQ,2025-12-12,2025-12-12
075180,새론오토모티브,KOSPI,2025-12-12,2025-12-12
015710,코콤,KOSDAQ,2025-12-12,2025-12-12
040610,SG&G,KOSDAQ,2025-12-12,2025-12-12
378850,화승알앤에이,KOSPI,2025-12-12,2025-12-12
004910,조광페인트,KOSPI,2025-12-12,2025-12-12
046940,우원개발,KOSDAQ,2025-12-12,2025-12-12
111870,KH 미래물산,KOSDAQ,2025-12-12,2025-12-12
440290,HB인베스트먼트,KOSDAQ,2025-12-12,2025-12-12
000725,현대건설우,KOSPI,2025-12-12,2025-12-12
052670,제일바이오,KOSDAQ,2025-12-12,2025-12-12
